Date,Open,High,Low,Close,Volume,Adjusted Close
1997-12-15,451.17,456.56,451.17,455.21,32470000.0,455.21
1997-12-12,455.4,455.86,449.48,451.17,28370000.0,451.17
1997-12-11,458.77,458.77,453.8,455.4,32780000.0,455.4
1997-12-10,460.85,461.5,456.32,458.77,29690000.0,458.77
1997-12-09,464.16,464.2,459.78,460.85,26800000.0,460.85
1997-12-08,469.53,470.48,463.06,464.16,25150000.0,464.16
1997-12-05,457.82,471.15,457.18,469.53,28740000.0,469.53
1997-12-04,463.21,463.58,457.11,457.82,31490000.0,457.82
1997-12-03,458.34,465.02,456.53,463.21,25300000.0,463.21
1997-12-02,457.61,461.31,456.72,458.34,26610000.0,458.34
1997-12-01,463.49,463.8,455.61,457.61,30980000.0,457.61
1997-11-28,462.26,464.5,462.23,463.49,10290000.0,463.49
1997-11-26,467.26,468.03,462.23,462.26,26470000.0,462.26
1997-11-25,477.35,478.11,464.16,467.26,28300000.0,467.26
1997-11-24,485.96,485.96,476.46,477.35,27110000.0,477.35
1997-11-21,482.37,486.42,482.28,485.96,27790000.0,485.96
1997-11-20,476.79,484.73,476.64,482.37,32700000.0,482.37
1997-11-19,477.41,478.48,474.77,476.79,38040000.0,476.79
1997-11-18,479.71,483.29,476.61,477.41,32280000.0,477.41
1997-11-17,471.86,482.25,471.86,479.71,33850000.0,479.71
1997-11-14,461.77,473.12,461.74,471.86,35810000.0,471.86
1997-11-13,463.64,468.24,456.23,461.77,34060000.0,461.77
1997-11-12,472.07,472.07,463.31,463.64,26330000.0,463.64
1997-11-11,467.2,472.62,467.2,472.07,20470000.0,472.07
1997-11-10,468.55,471.49,466.34,467.2,23100000.0,467.2
1997-11-07,472.84,472.84,461.62,468.55,28880000.0,468.55
1997-11-06,475.35,475.69,470.39,472.84,22850000.0,472.84
1997-11-05,479.98,480.78,474.25,475.35,25390000.0,475.35
1997-11-04,482.92,482.92,476.89,479.98,28280000.0,479.98
1997-11-03,470.57,482.92,470.57,482.92,25030000.0,482.92
1997-10-31,464.47,472.87,463.55,470.57,27370000.0,470.57
1997-10-30,466.1,469.74,461.44,464.47,31890000.0,464.47
1997-10-29,465.51,471.71,463.0,466.1,37660000.0,466.1
1997-10-28,447.43,465.51,435.2,465.51,60450000.0,465.51
1997-10-27,475.66,478.57,447.37,447.43,36710000.0,447.43
1997-10-24,478.63,483.11,474.25,475.66,32840000.0,475.66
1997-10-23,489.33,489.33,476.95,478.63,33640000.0,478.63
1997-10-22,490.43,490.59,486.42,489.33,28180000.0,489.33
1997-10-21,488.56,490.46,486.17,490.43,31280000.0,490.43
1997-10-20,478.82,489.02,477.59,488.56,23710000.0,488.56
1997-10-17,480.93,482.0,475.84,478.82,34670000.0,478.82
1997-10-16,486.11,489.51,479.64,480.93,33320000.0,480.93
