Date,Adjusted Close,High (est),Low (est)
2014-01-24,33.969122068,0,0
2014-01-23,33.8091406393,0,0
2014-01-22,33.8091406393,0,0
2014-01-21,33.6273484499,0.03007,0.029409
2014-01-20,33.5152092019,0.030178,0.029501
2014-01-17,33.4006913943,0,0
2014-01-16,33.2542989495,0,0
2014-01-15,33.2542989495,0.030438,0.029709
2014-01-14,33.0714077837,0.030576,0.029903
2014-01-13,33.0455069676,0,0
2014-01-10,33.1538604355,0,0
2014-01-09,33.1538604355,0.030499,0.029829
2014-01-08,33.1348555486,0,0
2014-01-07,33.1348555486,0,0
2014-01-06,33.1348555486,0,0
2014-01-03,32.9612013699,0,0
2014-01-02,32.8519428639,0,0
2014-01-01,32.8519428639,0,0
2013-12-31,32.7095619863,0.030938,0.03021
2013-12-30,32.6117441413,0.031029,0.030303
2013-12-27,32.718444696,0,0
2013-12-26,32.718444696,0,0
2013-12-25,32.718444696,0.030928,0.030204
2013-12-24,32.864574946,0.030793,0.030068
2013-12-23,32.9612013699,0,0
2013-12-20,32.8519428639,0,0
2013-12-19,32.8519428639,0,0
2013-12-18,32.8519428639,0,0
2013-12-17,32.8519428639,0,0
2013-12-16,32.8519428639,0,0
2013-12-13,32.7482315955,0.030902,0.030174
2013-12-12,32.718444696,0,0
2013-12-11,32.718444696,0.030928,0.030204
2013-12-10,32.9035038941,0,0
2013-12-09,32.9035038941,0.030756,0.030032
2013-12-06,33.1538604355,0.030499,0.029829
2013-12-05,33.1787204958,0,0
2013-12-04,33.1787204958,0,0
2013-12-03,33.1787204958,0,0
2013-12-02,33.0714077837,0,0
2013-11-29,33.0714077837,0.030576,0.029903
2013-11-28,32.9612013699,0,0
2013-11-27,32.9612013699,0,0
2013-11-26,32.8519428639,0,0
2013-11-25,32.864574946,0.030793,0.030068
2013-11-22,32.9191013085,0,0
2013-11-21,32.7482315955,0.030902,0.030174
2013-11-20,32.6411238992,0.031001,0.030276
2013-11-19,32.6117441413,0,0
2013-11-18,32.6117441413,0.031029,0.030303
2013-11-15,32.718444696,0.030928,0.030204
2013-11-14,32.8256302521,0.030829,0.030103
2013-11-13,32.8093677307,0,0
2013-11-12,32.5641676924,0,0
2013-11-11,32.5641676924,0.031074,0.030347
2013-11-08,32.4018870859,0.031207,0.030521
2013-11-07,32.4284709003,0,0
2013-11-06,32.4284709003,0.03119,0.030488
2013-11-05,32.4018870859,0.031207,0.030521
2013-11-04,32.3118481085,0.031303,0.030598
2013-11-01,32.0132150552,0,0
2013-10-31,32.0132150552,0.031595,0.030883
2013-10-30,31.9088173635,0,0
2013-10-29,31.8071216145,0,0
2013-10-28,31.8071216145,0,0
2013-10-25,31.7821524145,0,0
2013-10-24,31.7821524145,0.031844,0.031089
2013-10-23,31.8872466957,0,0
2013-10-22,31.9088173635,0,0
2013-10-21,31.9273588731,0,0
2013-10-18,32.1276882843,0.031482,0.030773
2013-10-17,32.2995329488,0,0
2013-10-16,32.2995329488,0,0
2013-10-15,32.2995329488,0,0
2013-10-14,32.2995329488,0,0
2013-10-11,32.2995329488,0,0
2013-10-10,32.3231278444,0.031284,0.030596
2013-10-09,32.2167024272,0,0
2013-10-08,32.2167024272,0,0
2013-10-07,32.193262594,0,0
2013-10-04,32.193262594,0.031411,0.030718
2013-10-03,32.3411081357,0,0
2013-10-02,32.3411081357,0,0
2013-10-01,32.4284709003,0.03119,0.030488
2013-09-30,32.2837874048,0.031322,0.030633
2013-09-27,32.0767789782,0.031525,0.03083
2013-09-26,31.9088173635,0,0
2013-09-25,31.7673108018,0,0
2013-09-24,31.7673108018,0,0
2013-09-23,31.7673108018,0,0
2013-09-20,31.84287452,0,0
2013-09-19,32.193262594,0.031411,0.030718
2013-09-18,32.2995329488,0,0
2013-09-17,32.4018870859,0.031207,0.030521
2013-09-16,32.5459385923,0.031078,0.030378
2013-09-13,32.7572426263,0.030891,0.030168
2013-09-12,32.9805513689,0,0
2013-09-11,33.1538604355,0.030499,0.029829
2013-09-10,33.2665783993,0,0
2013-09-09,33.2665783993,0,0
2013-09-06,33.3729358839,0.03033,0.029604
2013-09-05,33.4006913943,0,0
2013-09-04,33.4006913943,0,0
2013-09-03,33.2938246614,0,0
2013-09-02,33.2938246614,0.030402,0.029674
2013-08-30,33.1787204958,0,0
2013-08-29,33.0714077837,0,0
2013-08-28,33.0714077837,0.030576,0.029903
2013-08-27,33.0455069676,0,0
2013-08-26,33.0455069676,0,0
2013-08-23,33.0714077837,0.030576,0.029903
2013-08-22,32.9612013699,0,0
2013-08-21,32.9612013699,0,0
2013-08-20,32.9376424553,0,0
2013-08-19,32.9376424553,0,0
2013-08-16,33.0455069676,0,0
2013-08-15,33.0714077837,0.030576,0.029903
2013-08-14,32.9612013699,0,0
2013-08-13,32.8519428639,0,0
2013-08-12,32.8256302521,0.030829,0.030103
2013-08-09,32.9376424553,0,0
2013-08-08,32.9612013699,0,0
2013-08-07,32.9376424553,0,0
2013-08-06,32.9376424553,0,0
2013-08-05,32.9376424553,0,0
2013-08-02,32.9612013699,0,0
2013-08-01,32.9612013699,0,0
2013-07-31,32.8519428639,0,0
2013-07-30,32.7095619863,0,0
2013-07-29,32.7095619863,0.030938,0.03021
2013-07-26,32.4966528448,0.031139,0.03041
2013-07-25,32.4018870859,0,0
2013-07-24,32.4018870859,0,0
2013-07-23,32.4018870859,0,0
2013-07-22,32.4018870859,0,0
2013-07-19,32.4018870859,0,0
2013-07-18,32.4018870859,0.031207,0.030521
2013-07-17,32.5459385923,0.031078,0.030378
2013-07-16,32.7572426263,0,0
2013-07-15,32.7572426263,0,0
2013-07-12,32.7572426263,0.030891,0.030168
2013-07-11,32.9805513689,0,0
2013-07-10,33.1538604355,0.030499,0.029829
2013-07-09,33.1348555486,0,0
2013-07-08,33.1348555486,0,0
2013-07-05,33.1348555486,0,0
2013-07-04,33.1348555486,0,0
2013-07-03,32.9612013699,0,0
2013-07-02,32.8519428639,0,0
2013-07-01,32.8256302521,0.030829,0.030103
2013-06-28,32.8519428639,0,0
2013-06-27,32.8519428639,0,0
2013-06-26,32.8256302521,0.030829,0.030103
2013-06-25,32.8093677307,0,0
2013-06-24,32.8093677307,0,0
2013-06-21,32.4875735031,0.031147,0.030419
2013-06-20,32.0767789782,0.031525,0.03083
2013-06-19,31.8688532949,0,0
2013-06-18,31.8912126953,0,0
2013-06-17,31.8912126953,0.031735,0.030982
2013-06-14,32.193262594,0.031411,0.030718
2013-06-13,32.2995329488,0,0
2013-06-12,32.3231278444,0.031284,0.030596
2013-06-11,32.2167024272,0,0
2013-06-10,32.2167024272,0,0
2013-06-07,32.1155130774,0.031487,0.030792
2013-06-06,31.9752383754,0.031632,0.03092
2013-06-05,31.8872466957,0,0
2013-06-04,31.9088173635,0,0
2013-06-03,31.7673108018,0,0
2013-05-31,31.6063617285,0,0
2013-05-30,31.5064824588,0,0
2013-05-29,31.4108826144,0.032216,0.031461
2013-05-28,31.3830838901,0,0
2013-05-27,31.3830838901,0.032251,0.031482
2013-05-24,31.3752066842,0.032253,0.031496
2013-05-23,31.2851958453,0,0
2013-05-22,31.2851958453,0.032348,0.031585
2013-05-21,31.3830838901,0.032251,0.031482
2013-05-20,31.4108826144,0,0
2013-05-17,31.4108826144,0,0
2013-05-16,31.4108826144,0.032216,0.031461
2013-05-15,31.3830838901,0,0
2013-05-14,31.3830838901,0.032251,0.031482
2013-05-13,31.3397099196,0.032289,0.031532
2013-05-10,31.1153289668,0,0
2013-05-09,31.0929804487,0,0
2013-05-08,31.0929804487,0,0
2013-05-07,31.0929804487,0,0
2013-05-06,31.19005661,0,0
2013-05-03,31.2148832563,0.032421,0.031656
2013-05-02,31.1153289668,0,0
2013-05-01,31.0929804487,0,0
2013-04-30,31.19005661,0,0
2013-04-29,31.355727594,0,0
2013-04-26,31.355727594,0.032275,0.031514
2013-04-25,31.5850981507,0,0
2013-04-24,31.6848749081,0,0
2013-04-23,31.6848749081,0,0
2013-04-22,31.6848749081,0,0
2013-04-19,31.6380605869,0.031989,0.03123
2013-04-18,31.3752066842,0,0
2013-04-17,31.3752066842,0.032253,0.031496
2013-04-16,31.179845348,0.032457,0.031691
2013-04-15,30.9821016399,0,0
2013-04-12,30.8995794567,0.032733,0.031997
2013-04-11,31.0352746932,0,0
2013-04-10,31.2650463035,0,0
2013-04-09,31.5182001847,0.032106,0.031354
2013-04-08,31.5673505207,0,0
2013-04-05,31.5673505207,0,0
2013-04-04,31.3397099196,0.032289,0.031532
2013-04-03,31.1153289668,0,0
2013-04-02,31.018909127,0,0
2013-04-01,31.018909127,0,0
2013-03-29,31.018909127,0,0
2013-03-28,30.922128803,0,0
2013-03-27,30.8288965413,0.032808,0.03207
2013-03-26,30.8028769887,0,0
2013-03-25,30.8028769887,0.032862,0.032072
2013-03-22,30.8995794567,0.032733,0.031997
2013-03-21,30.922128803,0,0
2013-03-20,30.7584416543,0,0
2013-03-19,30.7584416543,0.032883,0.032144
2013-03-18,30.6546296154,0,0
2013-03-15,30.7356579736,0,0
2013-03-14,30.7356579736,0.032934,0.032142
2013-03-13,30.709229659,0.032947,0.032185
2013-03-12,30.7356579736,0,0
2013-03-11,30.7356579736,0,0
2013-03-08,30.7356579736,0.032934,0.032142
2013-03-07,30.709229659,0,0
2013-03-06,30.709229659,0.032947,0.032185
2013-03-05,30.7356579736,0.032934,0.032142
2013-03-04,30.6405404991,0.033021,0.032257
2013-03-01,30.5078023705,0,0
2013-02-28,30.5078023705,0,0
2013-02-27,30.5078023705,0,0
2013-02-26,30.3609921972,0,0
2013-02-25,30.3609921972,0.033316,0.032562
2013-02-22,30.2314824612,0,0
2013-02-21,30.0552114234,0,0
2013-02-20,30.0552114234,0,0
2013-02-19,30.0552114234,0.033671,0.032878
2013-02-18,30.0063313359,0.033712,0.032945
2013-02-15,30.0878565411,0.033634,0.032843
2013-02-14,30.0628011917,0.033658,0.032874
2013-02-13,30.153178145,0,0
2013-02-12,30.153178145,0.033561,0.032771
2013-02-11,30.1752882494,0,0
2013-02-08,30.0878565411,0.033634,0.032843
2013-02-07,29.9973302376,0,0
2013-02-06,29.9973302376,0.033731,0.032946
2013-02-05,29.8413039456,0.033898,0.033127
2013-02-04,29.8046602567,0.033937,0.033171
2013-02-01,30.0628011917,0,0
2013-01-31,30.0628011917,0.033658,0.032874
2013-01-30,30.0878565411,0,0
2013-01-29,30.0878565411,0.033634,0.032843
2013-01-28,30.0628011917,0.033658,0.032874
2013-01-25,30.153178145,0.033561,0.032771
2013-01-24,30.2477593972,0,0
2013-01-23,30.2477593972,0,0
2013-01-22,30.2671682945,0,0
2013-01-21,30.2671682945,0,0
2013-01-18,30.2671682945,0,0
2013-01-17,30.2671682945,0,0
2013-01-16,30.1752882494,0,0
2013-01-15,30.1752882494,0,0
2013-01-14,30.1860365432,0.033525,0.032736
2013-01-11,30.3389773944,0,0
2013-01-10,30.3609921972,0.033316,0.032562
2013-01-09,30.3389773944,0,0
2013-01-08,30.3269242433,0,0
2013-01-07,30.3269242433,0.033354,0.032599
2013-01-04,30.2477593972,0,0
2013-01-03,30.4110355566,0,0
2013-01-02,30.5443305141,0,0
2013-01-01,30.5227944229,0,0
2012-12-31,30.5227944229,0,0
2012-12-28,30.5227944229,0.033129,0.0324
2012-12-27,30.6178373397,0,0
2012-12-26,30.6178373397,0,0
2012-12-25,30.709229659,0.032947,0.032185
2012-12-24,30.7356579736,0.032934,0.032142
2012-12-21,30.709229659,0.032947,0.032185
2012-12-20,30.8028769887,0.032862,0.032072
2012-12-19,30.7935813859,0,0
2012-12-18,30.7935813859,0.032846,0.032107
2012-12-17,30.709229659,0,0
2012-12-14,30.709229659,0,0
2012-12-13,30.709229659,0.032947,0.032185
2012-12-12,30.8028769887,0.032862,0.032072
2012-12-11,30.8995794567,0.032733,0.031997
2012-12-10,30.922128803,0,0
2012-12-07,30.8288965413,0.032808,0.03207
2012-12-06,30.8028769887,0.032862,0.032072
2012-12-05,30.8995794567,0,0
2012-12-04,30.8995794567,0,0
2012-12-03,30.8995794567,0.032733,0.031997
2012-11-30,31.0352746932,0,0
2012-11-29,31.0781958486,0,0
2012-11-28,30.9974675069,0,0
2012-11-27,31.0929804487,0,0
2012-11-26,31.0929804487,0,0
2012-11-23,31.19005661,0,0
2012-11-22,31.2851958453,0.032348,0.031585
2012-11-21,31.4182841847,0.032215,0.031447
2012-11-20,31.5850981507,0,0
2012-11-19,31.6848749081,0,0
2012-11-16,31.6848749081,0,0
2012-11-15,31.7099930872,0,0
2012-11-14,31.7099930872,0.031917,0.031159
2012-11-13,31.5673505207,0,0
2012-11-12,31.4822801986,0.032143,0.031389
2012-11-09,31.5064824588,0,0
2012-11-08,31.4822801986,0.032143,0.031389
2012-11-07,31.5064824588,0,0
2012-11-06,31.5064824588,0,0
2012-11-05,31.4108826144,0.032216,0.031461
2012-11-02,31.3830838901,0,0
2012-11-01,31.3830838901,0.032251,0.031482
2012-10-31,31.4108826144,0,0
2012-10-30,31.4108826144,0.032216,0.031461
2012-10-29,31.3129193974,0,0
2012-10-26,31.3129193974,0,0
2012-10-25,31.3129193974,0.032323,0.031553
2012-10-24,31.1449830104,0.032494,0.031727
2012-10-23,30.8845966163,0,0
2012-10-22,30.8845966163,0,0
2012-10-19,30.836691963,0,0
2012-10-18,30.836691963,0.032826,0.032037
2012-10-17,30.9974675069,0,0
2012-10-16,31.0929804487,0,0
2012-10-15,31.0929804487,0,0
2012-10-12,31.0929804487,0,0
2012-10-11,31.1153289668,0,0
2012-10-10,31.1153289668,0,0
2012-10-09,31.018909127,0,0
2012-10-08,30.9974675069,0,0
2012-10-05,31.0929804487,0,0
2012-10-04,31.19005661,0,0
2012-10-03,31.19005661,0,0
2012-10-02,31.19005661,0,0
2012-10-01,31.19005661,0,0
2012-09-28,31.19005661,0,0
2012-09-27,31.179845348,0.032457,0.031691
2012-09-26,31.0929804487,0,0
2012-09-25,31.227457679,0,0
2012-09-24,31.227457679,0,0
2012-09-21,31.2429703317,0.032396,0.031623
2012-09-20,30.9821016399,0,0
2012-09-19,30.7584416543,0.032883,0.032144
2012-09-18,30.5443305141,0,0
2012-09-17,30.805818603,0.032825,0.032102
2012-09-14,31.3830838901,0.032251,0.031482
2012-09-13,31.5182001847,0.032106,0.031354
2012-09-12,31.6848749081,0,0
2012-09-11,31.7099930872,0.031917,0.031159
2012-09-10,31.84287452,0,0
2012-09-07,32.2322786932,0.031373,0.030681
2012-09-06,32.3231278444,0.031284,0.030596
2012-09-05,32.2995329488,0,0
2012-09-04,32.2837874048,0,0
2012-09-03,32.2837874048,0,0
2012-08-31,32.2837874048,0.031322,0.030633
2012-08-30,32.0767789782,0.031525,0.03083
2012-08-29,31.9088173635,0,0
2012-08-28,31.8071216145,0,0
2012-08-27,31.8071216145,0,0
2012-08-24,31.8547423748,0,0
2012-08-23,31.8547423748,0,0
2012-08-22,31.8547423748,0.031772,0.031018
2012-08-21,31.9752383754,0,0
2012-08-20,31.9752383754,0.031632,0.03092
2012-08-17,31.7274988578,0,0
2012-08-16,31.7274988578,0,0
2012-08-15,31.7274988578,0,0
2012-08-14,31.7274988578,0,0
2012-08-13,31.7274988578,0,0
2012-08-10,31.5850981507,0,0
2012-08-09,31.6063617285,0,0
2012-08-08,31.6642074132,0,0
2012-08-07,31.8872466957,0,0
2012-08-06,32.1506192209,0,0
2012-08-03,32.3895032098,0.031228,0.030525
2012-08-02,32.2167024272,0,0
2012-08-01,32.271285333,0,0
2012-07-31,32.271285333,0,0
2012-07-30,32.271285333,0.031335,0.030644
2012-07-27,32.5852838341,0.03104,0.030341
2012-07-26,32.6327090696,0,0
2012-07-25,32.6327090696,0.031011,0.030281
2012-07-24,32.2837874048,0.031322,0.030633
2012-07-23,32.1155130774,0.031487,0.030792
2012-07-20,32.166028171,0.031445,0.030737
2012-07-19,32.4018870859,0.031207,0.030521
2012-07-18,32.5066882511,0.031115,0.030415
2012-07-17,32.6117441413,0,0
2012-07-16,32.6117441413,0.031029,0.030303
2012-07-13,32.718444696,0.030928,0.030204
2012-07-12,32.8256302521,0.030829,0.030103
2012-07-11,32.9376424553,0,0
2012-07-10,32.9612013699,0,0
2012-07-09,32.7243334871,0,0
2012-07-06,32.3895032098,0.031228,0.030525
2012-07-05,32.2995329488,0,0
2012-07-04,32.4018870859,0.031207,0.030521
2012-07-03,32.4284709003,0.03119,0.030488
2012-07-02,32.6006872225,0.031017,0.030335
